"va","n","true_h2","h2_est","h2_err","method"
2.5,1,0.5,0.614421502398561,0.114421502398561,"BayesA"
2.5,2,0.5,0.620363132035678,0.120363132035678,"BayesA"
2.5,3,0.5,0.597095947389055,0.0970959473890547,"BayesA"
2.5,4,0.5,0.61419886120778,0.11419886120778,"BayesA"
2.5,5,0.5,0.619804383573917,0.119804383573917,"BayesA"
2.5,6,0.5,0.64553233541106,0.14553233541106,"BayesA"
2.5,7,0.5,0.632121994016473,0.132121994016473,"BayesA"
2.5,8,0.5,0.605296208444103,0.105296208444103,"BayesA"
2.5,9,0.5,0.629619657092853,0.129619657092853,"BayesA"
2.5,10,0.5,0.6367456188144,0.1367456188144,"BayesA"
2.25,1,0.45,0.562775055647897,0.112775055647897,"BayesA"
2.25,2,0.45,0.557636804250188,0.107636804250188,"BayesA"
2.25,3,0.45,0.564760432982971,0.114760432982971,"BayesA"
2.25,4,0.45,0.549945614846757,0.0999456148467571,"BayesA"
2.25,5,0.45,0.586507528346051,0.136507528346051,"BayesA"
2.25,6,0.45,0.583452902620583,0.133452902620583,"BayesA"
2.25,7,0.45,0.567797033572039,0.117797033572039,"BayesA"
2.25,8,0.45,0.555952340587858,0.105952340587858,"BayesA"
2.25,9,0.45,0.57569587026239,0.12569587026239,"BayesA"
2.25,10,0.45,0.557105393577886,0.107105393577886,"BayesA"
2,1,0.4,0.529505290834163,0.129505290834163,"BayesA"
2,2,0.4,0.517536021840988,0.117536021840988,"BayesA"
2,3,0.4,0.516375752960763,0.116375752960763,"BayesA"
2,4,0.4,0.541511919820106,0.141511919820106,"BayesA"
2,5,0.4,0.55408595551614,0.15408595551614,"BayesA"
2,6,0.4,0.535674282717522,0.135674282717522,"BayesA"
2,7,0.4,0.508977791538738,0.108977791538738,"BayesA"
2,8,0.4,0.521700602526332,0.121700602526332,"BayesA"
2,9,0.4,0.510876619015851,0.110876619015851,"BayesA"
2,10,0.4,0.505293813344071,0.105293813344071,"BayesA"
1.9,1,0.38,0.505818070826069,0.125818070826069,"BayesA"
1.9,2,0.38,0.507490546736712,0.127490546736712,"BayesA"
1.9,3,0.38,0.477551380270077,0.0975513802700773,"BayesA"
1.9,4,0.38,0.495579581422567,0.115579581422567,"BayesA"
1.9,5,0.38,0.518795424924602,0.138795424924602,"BayesA"
1.9,6,0.38,0.508360105894655,0.128360105894655,"BayesA"
1.9,7,0.38,0.521272523111794,0.141272523111794,"BayesA"
1.9,8,0.38,0.507109224199481,0.127109224199481,"BayesA"
1.9,9,0.38,0.495035240071677,0.115035240071677,"BayesA"
1.9,10,0.38,0.519645489038839,0.139645489038839,"BayesA"
1.8,1,0.36,0.443773390724582,0.0837733907245822,"BayesA"
1.8,2,0.36,0.4894693399944,0.1294693399944,"BayesA"
1.8,3,0.36,0.472842550447853,0.112842550447853,"BayesA"
1.8,4,0.36,0.475882006212671,0.115882006212671,"BayesA"
1.8,5,0.36,0.486021873338994,0.126021873338994,"BayesA"
1.8,6,0.36,0.467542450563468,0.107542450563468,"BayesA"
1.8,7,0.36,0.482496584964219,0.122496584964219,"BayesA"
1.8,8,0.36,0.47985769011376,0.11985769011376,"BayesA"
1.8,9,0.36,0.473067676129182,0.113067676129182,"BayesA"
1.8,10,0.36,0.487291818298514,0.127291818298514,"BayesA"
1.7,1,0.34,0.464708916952631,0.124708916952631,"BayesA"
1.7,2,0.34,0.460965265365991,0.120965265365991,"BayesA"
1.7,3,0.34,0.476042560192711,0.136042560192711,"BayesA"
1.7,4,0.34,0.436409132138187,0.0964091321381868,"BayesA"
1.7,5,0.34,0.485617719997217,0.145617719997217,"BayesA"
1.7,6,0.34,0.441124893312588,0.101124893312588,"BayesA"
1.7,7,0.34,0.466756776748064,0.126756776748064,"BayesA"
1.7,8,0.34,0.493982359158299,0.153982359158299,"BayesA"
1.7,9,0.34,0.473457592173112,0.133457592173112,"BayesA"
1.7,10,0.34,0.46062432194846,0.12062432194846,"BayesA"
1.6,1,0.32,0.421463153425625,0.101463153425625,"BayesA"
1.6,2,0.32,0.452609944088966,0.132609944088966,"BayesA"
1.6,3,0.32,0.462053780706803,0.142053780706803,"BayesA"
1.6,4,0.32,0.480362703112598,0.160362703112598,"BayesA"
1.6,5,0.32,0.437887820439894,0.117887820439894,"BayesA"
1.6,6,0.32,0.463991633140798,0.143991633140798,"BayesA"
1.6,7,0.32,0.444830929817102,0.124830929817102,"BayesA"
1.6,8,0.32,0.443027919346439,0.123027919346439,"BayesA"
1.6,9,0.32,0.452047229562759,0.132047229562758,"BayesA"
1.6,10,0.32,0.463065582267469,0.143065582267469,"BayesA"
1.5,1,0.3,0.425603598828343,0.125603598828343,"BayesA"
1.5,2,0.3,0.431978527092187,0.131978527092187,"BayesA"
