"family","sires","mean","mean_error","mean_sigma","lm_intercept","lm_intercept_error","lm_slope","lm_slope_error","lm_sigma","sire_jersey_propn","sire_breed","sire_birth_date","sire_birth_year","sire_region","halfsibs_in_data","halfsibs_total","sire_breeding_window","sire_avg_age_at_col","rounded_ages","children_per_age"
1,134352,0.986311643164028,0.0388528845288187,0.173755381856777,0.354481095407114,0.952658627734423,0.00143126185922961,0.00215617162507178,0.176371016824842,1,"Jersey","2005-08-23",2005,"SOUTH AUCKLAND",20,21,42,441.45,"1","20"
1,134353,0.924591936986475,0.0400197773471396,0.191928109757368,-2.64235142625532,1.53002773085299,0.0082418823944707,0.00353431980047343,0.17507955267,1,"Jersey","2005-08-27",2005,"SOUTH AUCKLAND",23,23,46,432.782608695652,"1","23"
1,134454,0.943843050572465,0.0302231726895999,0.1208926907584,1.07926383406794,0.936395870886978,-0.000301311714076981,0.00208232273572842,0.125042353289752,0,"Holstein","2005-08-04",2005,"SOUTH AUCKLAND",16,16,52,449.4375,"1","16"
1,134455,1.06549157487101,0.0369944921418286,0.156954337560236,1.63351150272733,0.60907308058286,-0.00140328832025992,0.00150191067358166,0.157543994585369,0,"Holstein","2005-09-09",2005,"SOUTH AUCKLAND",18,20,74,404.777777777778,"1","18"
1,134647,0.925054240808904,0.0563666905388406,0.195259943735568,0.925054240808904,0.0563666905388406,NA,NA,0.195259943735568,0.4375,"Mix","2005-08-18",2005,"SOUTH AUCKLAND",12,12,0,425,"1","12"
1,134709,0.968354871420151,0.0356377696098704,0.15534143630261,0.929470948454296,0.584755787158919,9.36249570841781e-05,0.00140520809198031,0.15982415333922,1,"Jersey","2005-09-01",2005,"SOUTH AUCKLAND",19,21,128,415.315789473684,"1","19"
1,134762,1.13641209499837,0.0402110854331983,0.160844341732793,1.91642189782132,1.19213711760443,-0.00180583950877834,0.0027583432506324,0.163998236858145,0,"Holstein","2005-09-01",2005,"SOUTH AUCKLAND",16,17,42,431.9375,"1","16"
1,134787,1.14837312903413,0.0499755012934763,0.199902005173905,2.67324945163233,1.60934430546701,-0.0037610638448545,0.00396747435702411,0.200580746548953,0,"Holstein","2005-09-10",2005,"SOUTHLAND",16,17,43,405.4375,"1","16"
1,134791,0.906192347091239,0.0276093878967943,0.120346531735141,1.26368301736567,0.453925003554611,-0.000820527027689552,0.00103989666516468,0.12162837516528,0.5,"Mix","2005-08-08",2005,"OTAGO",19,20,133,435.684210526316,"1","19"
1,134954,0.982591816528921,0.0446698055284943,0.184178326469782,0.370021530140234,0.928794073222793,0.00137365715190709,0.00208027431319352,0.187512713798507,0,"Holstein","2005-08-15",2005,"SOUTH AUCKLAND",17,17,61,445.941176470588,"1","17"
1,135059,1.03750516210167,0.0340219783775563,0.127298586709047,2.56092583491708,1.2412801606176,-0.0036002514212383,0.00293241708061565,0.124884971010914,0.5625,"Mix","2005-08-24",2005,"SOUTH AUCKLAND",14,14,23,423.142857142857,"1","14"
1,135108,1.09133999225505,0.0406964389898108,0.177391664918554,1.4289567389922,1.22697372974934,-0.000803446666834402,0.00291820886312101,0.182128917215368,0,"Holstein","2005-08-28",2005,"SOUTH AUCKLAND",19,20,29,420.210526315789,"1","19"
1,135166,1.06776653933804,0.0302029068419161,0.13840710681078,0.774909757294972,0.86667980600742,0.00066022462940467,0.001952625710048,0.141577387025253,0,"Holstein","2005-08-05",2005,"SOUTH AUCKLAND",21,22,40,443.571428571429,"1","21"
1,135174,1.08611317373381,0.0411443876015756,0.184003295139445,2.02311342608016,1.02516588229304,-0.00219463696532698,0.00239918664072653,0.184798898669433,0.6875,"Mix","2005-08-21",2005,"CANTERBURY",20,20,44,426.95,"1","20"
1,135248,0.969188042500269,0.0319457493472501,0.123725355204016,-1.82664592273843,1.70879400526575,0.00496831056493075,0.0030361224909835,0.116917656742402,1,"Jersey","2006-04-09",2006,"SOUTH AUCKLAND",15,21,34,562.733333333333,"1 2","1 14"
1,135265,1.13521962199467,0.0371829007856641,0.134064855353202,3.22984138676464,3.22049403157144,-0.00431401821007755,0.00663236547950792,0.137408586940283,1,"Jersey","2006-07-02",2006,"TARANAKI",13,16,23,485.538461538462,"1","13"
