"","(Intercept)","as.Date(sire_birth_date)","kept_markers_adjusted","sire_age_at_collection","I(sire_age_at_collection^2)","sire_breeding_window","sire_jersey_propn","as.Date(sire_birth_date):kept_markers_adjusted","as.Date(sire_birth_date):sire_age_at_collection","as.Date(sire_birth_date):sire_breeding_window","as.Date(sire_birth_date):sire_jersey_propn","kept_markers_adjusted:sire_age_at_collection","kept_markers_adjusted:sire_breeding_window","kept_markers_adjusted:sire_jersey_propn","sire_age_at_collection:sire_breeding_window","sire_age_at_collection:sire_jersey_propn","sire_breeding_window:sire_jersey_propn","df","logLik","AICc","delta","weight"
"54840",1.06869078510354,-5.40245473264356e-07,-2.9763256857733e-05,-7.04994651863769e-06,NA,4.54775063137328e-06,-0.242262832032774,NA,NA,NA,1.15076856612782e-05,5.83174479471142e-08,NA,5.87831768802417e-05,NA,1.65363584674874e-05,-2.07813638574104e-06,15,26486.8087600599,-52943.6123905994,143.389169011651,7.20273104017117e-32
"2176",0.93371142083733,8.07442930952898e-06,0.00015515245338652,2.4338081589562e-05,-3.06569947435634e-09,-9.80970423945592e-06,-0.062113519088545,-1.07160612790953e-08,NA,NA,NA,NA,4.75983605519966e-08,NA,NA,NA,NA,13,26484.7898688,-52943.5758477969,143.42571181414,7.0723220567142e-32
"24758",0.973854813172425,5.77380379632443e-06,NA,9.64910990538108e-06,NA,3.2655652060283e-06,-0.0698229268863038,NA,2.12818111903021e-10,NA,NA,NA,NA,NA,2.91228102245604e-10,9.86531606542435e-06,NA,12,26483.6841186672,-52943.364903253,143.63665635806,6.36437855188469e-32
"18104",1.05215951710038,2.94847398909036e-07,-8.7236756146575e-06,4.32370006088024e-06,NA,3.73105100874541e-06,-0.241514584867348,NA,-9.30688219214004e-10,NA,1.24796816785183e-05,5.95234137110332e-08,NA,NA,NA,1.70230265683828e-05,NA,14,26485.6786101853,-52943.3527320883,143.648827522768,6.3257652135685e-32
"38976",0.983132914177292,5.28341546047775e-06,-3.50294015914746e-05,2.39005645153047e-05,-2.95338362935275e-09,-1.17467069570331e-05,-0.082585333985584,NA,NA,NA,NA,NA,5.83124738685143e-08,8.26331834680428e-05,NA,NA,-1.99685853149568e-06,14,26485.6736934459,-52943.3428986094,143.658661001624,6.29473940972852e-32
"32884",0.903679733045684,1.00704075550217e-05,0.000489286200199699,NA,NA,1.04939701902539e-05,-0.0606872268073575,-3.11862618622367e-08,NA,NA,NA,NA,NA,NA,NA,NA,-1.84339771726457e-06,11,26482.6696499914,-52943.3364788672,143.665080743835,6.2745665011203e-32
"57912",1.0497421260133,-5.74052297609353e-07,4.09920599165495e-05,8.89381296499317e-06,NA,3.61763685254738e-06,-0.236286424425417,NA,NA,NA,1.22267289200204e-05,NA,NA,NA,5.74253392017236e-10,1.55023128915624e-05,-1.5745462415823e-06,14,26485.6057206861,-52943.2069530899,143.794606521209,5.88108642180998e-32
"1400",0.851608204532864,1.41636069085857e-05,0.000255280691678776,6.42643656825744e-06,NA,8.41957644184901e-05,-0.0627421962240056,-1.71985375446485e-08,NA,-6.27273366196442e-09,NA,3.35423466160626e-08,NA,NA,NA,NA,NA,13,26484.5425960101,-52943.0813022171,143.920257393976,5.5229717397354e-32
"1712",0.980708859921945,4.75520343931185e-06,-5.04396215945899e-06,5.90293164110307e-05,-5.55542508370995e-09,NA,-0.187207640618652,NA,-3.25091153262101e-09,NA,9.26261102918002e-06,5.50820439448555e-08,NA,NA,NA,NA,NA,13,26484.4820317714,-52942.9601737396,144.041385871511,5.19840493522679e-32
"5352",0.938352148161592,8.61826842903207e-06,0.000138750664101333,1.63462787015223e-05,NA,NA,-0.0808262838396542,-1.1297527134413e-08,-9.05381380110077e-10,NA,NA,4.16248151935511e-08,NA,7.20215564971123e-05,NA,NA,NA,13,26484.4527440277,-52942.9015982523,144.09996135877,5.0483632996515e-32
"11320",0.974150424709879,5.50104985547167e-06,-9.23411680572936e-07,1.93541118897535e-05,NA,-1.11906442192625e-05,-0.0627858507531086,NA,NA,NA,NA,-4.58749034840667e-09,5.89774344970955e-08,NA,-1.53692550424185e-09,NA,NA,13,26484.4013618793,-52942.7988339554,144.202725655632,4.79551901448306e-32
"21224",0.961956725204166,6.04496005830921e-06,0.000370106566274575,1.2602612427264e-05,NA,NA,-0.231546276693504,-2.45112629070073e-08,-1.4177820001497e-10,NA,1.10027946115015e-05,NA,NA,4.78921671874366e-05,NA,1.42069203422138e-05,NA,14,26485.3990410919,-52942.7935939015,144.207965709567,4.78297107049513e-32
"41022",0.966008990509483,5.882367217772e-06,NA,2.51075838244014e-05,-3.38593874129075e-09,3.393818059599e-06,-0.0620748790221243,NA,NA,NA,NA,NA,NA,NA,9.72499876081281e-10,NA,-3.50765916736293e-06,12,26483.388210887,-52942.7730876927,144.228471918366,4.73418131939806e-32
"17520",0.919863761708686,9.23535999915418e-06,0.000236902028302765,9.74188992732609e-06,-2.7845621529416e-09,NA,-0.069076998897592,-1.61368080939986e-08,NA,NA,NA,3.74500626652833e-08,NA,NA,NA,1.08626110658819e-05,NA,13,26484.3277981396,-52942.6517064761,144.349853134976,4.45540605901533e-32
"17334",1.00011407328959,3.88195449414128e-06,NA,-5.2014360299122e-07,NA,8.18075154048317e-05,-0.233320500204326,NA,8.82049319332646e-10,-6.06636235793821e-09,1.18571546747051e-05,NA,NA,NA,NA,1.50418824095571e-05,NA,13,26484.3232488023,-52942.6426078014,144.358951809685,4.43518294955393e-32
"35448",1.02254277539619,1.94527466245269e-06,9.44614332015664e-05,1.51535467905473e-05,NA,-1.25658272026834e-05,-0.196646465489135,-6.52597377782457e-09,NA,NA,9.78420262558283e-06,NA,5.05072065956892e-08,NA,NA,NA,7.15545809530266e-06,14,26485.2380801445,-52942.4716720067,144.529887604382,4.07186436240351e-32
